o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:contributor,dcterms:date,dcterms:type,dcterms:format,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:tableOfContents,dcterms:abstract,dcterms:medium,dcterms:isReferencedBy,dcterms:references,dcterms:mediator,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:accrualMethod,index:geognameTerritory,index:geognameCountry,index:geognameCity,index:persname,index:namePeriodical,index:genreformType,index:subjectKeywords
5,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/5,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"333 | 334","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/5765f7fc4a0f4c2779cc8ce2a7daa3cf0fcf5a60.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/79774285ca63801a0fd4255dbc75913040ca1672.jpeg","Théâtre-bouffes de la Scala (Lyon) : tableau de la troupe pour la saison 1901-1902",,,,1901,Pièce,"Recto-verso. Lithographie couleur.  18,5 x 10,5 cm.","https://www.nakala.fr/10.34847/nkl.9bfdcyku 10.34847/nkl.9bfdcyku",,,,,"Répertoire de l'administration et des artistes de la troupe.","Document non solidaire, déchirures multiples et signes d'usage et d'usure.",,,,,"1 EN 1",,,,,,,Brochure,"État de troupe dramatique"
6,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/6,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"335 | 336 | 337 | 338 | 339 | 340 | 341 | 342 | 343","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4160af84a718c55fe466a7044f153a3cb6a0e1f3.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b0d7b449a43327f832ec49d196b6f8d7efb06848.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9220c5c7631d971178f33389fcc1fdaa390b27d1.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/a5e5edca4f45c597a61318698647e2e0dc3da8db.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/1a388b1d0f825000f100da2c3e39fc989800b800.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/91dccdbffc7fc1c6e5cbd5ff7595ac51159fb42c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f80ce6df5042548a8035b7662e146e140e4e33e2.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3e34d53ab6d1f3743f52ba511eca01cd313e1c0c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3ae2cb3020b1d8a4ba44113aad0e721a080fe82d.jpeg","Programme du Grand Théâtre municipal de la ville d'Avignon pour la saison 1904-1905",,,,1904,Pièce,"11 pages. Impression encre noire et couleur. Signet de tête en ruban rouge. 19 x 12 cm.","https://www.nakala.fr/10.34847/nkl.1e5bhw75 10.34847/nkl.1e5bhw75",,,,,"Programme des représentations et répertoire de l'administration et des artistes de la troupe.
Imprimeur : Eugène Millo.","Déchirures multiples, signet de tête coupé et traces d'usage et d'usure.",,,,,"1 EN 2",,,,,,,Brochure,"Programme théâtral"
7,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/7,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,344,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/0afdacd36ab6cecb914c6deb828df6d170e81a4b.jpeg,"Théâtre-Casino de Cavaillon : affiche des représentations données par la troupe Mouret le dimanche 14 mai 1905",,,,1905,Pièce,"Impression encre noire.  22,7 x 17,5 cm.","https://www.nakala.fr/10.34847/nkl.5316rxbc 10.34847/nkl.5316rxbc",,,,,,"Déchirures multiples, signes d'usage et d'usure et présence de papier adhésif.",,,,,"1 EN 3",,,,,,,"Document figuré","Affiche programme lyrique"
8,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/8,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"345 | 346 | 347 | 348 | 349 | 350 | 351 | 352","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/7e1f1b051e8e6ed35e9aca8993da24cd349c1812.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/a0af472f2f05d498b0a1c5b1070a0a995073b3a6.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f03d2311d1900c65e1937bad4b382bbe6ebcf4b3.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/e313bbb87e01ff80c0bf27b56221a8b4137f86f6.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/6f8c60a792ba792a68a22c8b949bb5e5510eb0eb.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/6e5f4cc5ff7a6552722ef026abbaf1a3c8977c4c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c044a24a4f18a0657f3316083ace78c031e94802.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/631225eb91c5a2081c1f1dc0bb2f59c324ceefd0.jpeg","Grand Théâtre municipal de la ville d'Avignon : programme et tableaux de la troupe et de l'orchestre pour la saison 1905-1906",,,,1905,Pièce,"12 pages. Impression encre noire et verte. 21,5 cm x 13,3 cm.","https://www.nakala.fr/10.34847/nkl.6af0c541 10.34847/nkl.6af0c541",,,,,"Répertoire de l'administration et des artistes et instrumentistes du théâtre.
Imprimeur : Eugène Millo.","Document non solidaire, légères déchirures, quatrième de couverture manquante et signes d'usage et d'usure.",,,,,"1 EN 4",,,,,,,Brochure,"Programme théâtral | Tableau de la troupe"
9,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/9,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"353 | 354","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/aa70b3b02f4668fe708a94272a70447f0420eb9b.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c25cb4f4c78513811fb49fbc34b6243be7501f50.jpeg","Émile Nélès jeune dans le rôle de Pomponnet à Haïphong dans La Fille de Mme Angot de Charles Lecocq, livret de Clairville, Paul Siraudin et Victor Koning",,,,1906,Pièce,"1 photographie en noir et blanc.","https://www.nakala.fr/10.34847/nkl.a85601w0 10.34847/nkl.a85601w0",,,,,"Photographe :  Paul Joseph Dufresne, Haïphong, Protectorat du Tonkin, Indochine française (république socialiste du Vietnam depuis 1976).","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 19.",,,"1 EN 5",,"https://isni.org/isni/0000000121834360 Indochine française","https://www.geonames.org/1562822/socialist-republic-of-vietnam.html Vietnam","https://www.geonames.org/1581298/haiphong.html Haïphong","Nélès, Émile (1876-1942)",,"Document figuré","Photographie d'artiste"
10,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/10,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,355,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b85d7b8a5e0d01fc852093d78368e01ee0f2cf0b.jpeg,"Théâtres municipaux du Tonkin : affiche de l'opéra comique Les Dragons de Villars, d'Eugène Cormon et Lockroy, musique d'Aimé Maillart (1906). Portrait de comédien d'Émile Nélès : coupure incomplète d'une brochure avec photographie, [1906]",,,,1906,Pièce,"Impression encre noire. 20,5 x 13,8 cm.","https://www.nakala.fr/10.34847/nkl.ba9a7y1g 10.34847/nkl.ba9a7y1g",,,,,,"Déchirures multiples, signes d'usage et d'usure et présence de papier adhésif.",,,,,"1 EN 6",,,,,,,"Brochure | Coupure de presse","Affiche programme lyrique"
11,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/11,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,356,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/e77fe101672991de24d6a47645bd95f8c7f08199.jpeg,"Théâtres municipaux du Tonkin : affiche du vaudeville Le Chopin de Henri Kéroul et Albert Barré",,,,1906,Pièce,"Papier couleur. Impression encre noire. 25,5 x 18,5 cm.","https://www.nakala.fr/10.34847/nkl.2cb197g9 10.34847/nkl.2cb197g9",,,,,,"Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 7",,,,,,,"Document figuré","Affiche programme lyrique"
12,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/12,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,357,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b68c358495dd6e36689de84b7a8e4fc34eb82f30.jpeg,"Théâtres municipaux du Tonkin : affiche de l'opérette Les Fétards d'Antony Mars et Maurice Hennequin, musique de Victor Roger",,,,1906,Pièce,"Papier couleur. Impression encre noire. 25,5 x 19 cm.","https://www.nakala.fr/10.34847/nkl.cda7do41 10.34847/nkl.cda7do41",,,,,,"Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 8",,,,,,,"Document figuré","Affiche programme lyrique"
13,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/13,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"358 | 359 | 360","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/40ef9e82b173e573a62c9da3cd9c8c349962e461.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d965599ee8f7f9eb4f763e35e9285d8fe1b010c5.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/95bfb6cc4bd2a2d7365f43454bf5fe97f70b0bbd.jpeg","3567e numéro (première édition) du journal quotidien L' Avenir du Tonkin",,,,"27 janvier 1907",Pièce,"4 pages. Impression encre noire. 62,5 x 46,6 cm.","https://doi.org/10.34847/NKL.DE6AWNLG 10.34847/nkl.de6awnlg",,,,,"Sommaire : La Politique (p. 1),  Courrier de Hanoï (p. 1), Echos de partout (p. 1), Notes d'un tonkinois (p. 1 ), Lettre de Canton (p. 1), Contres et nouvelles (p. 2), Chronique du travail (p. 2), Cartes et livrets des serviteurs indigènes (p. 1), Chronique judiciaire (p. 2), Chronique locale (p. 2), Tribune libre (p. 3),  L'« Avenir » sportif (p. 3), La vie militaire et maritime (p. 4).","Déchirures multiples, signes d'usage et d'usure.","https://gallica.bnf.fr/ark:/12148/bpt6k2766501q?rk=21459;2# BnF - Gallica",,,,"1 EN 9",,,,,,"http://ark.bnf.fr/ark:/12148/cb327087806 L' Avenir du Tonkin",Périodique,
14,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/14,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"361 | 362 | 363","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9f13d1d4ff984ca603055023ba9dff96d0801322.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/7d1d01e91175eaf9682af0450ab62799efe9287c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/426a7d9e43844f7b496fcce749b73490653db140.jpeg","Théâtre Moderne d'Anvers : programme de soirée, saison d'été 1909 annonçant le vaudeville Le Garde du corps de Marcel Nancey et Paul Armont",,,,1909,Pièce,"4 pages. Impression encre bleue. 22 x 13,7 cm.","https://www.nakala.fr/10.34847/nkl.2f51zdl4 10.34847/nkl.2f51zdl4",,,,,,"Signes d'usage et d'usure.",,,,,"1 EN 10",,,,,,,Brochure,"Affiche programme dramatique"
